
girl_id,type,Atrractiveness,Maintenance_budget,Intelligence
girl_0,choosy,49,4018,84
girl_1,desperate,67,4438,70
girl_2,choosy,71,4065,82
girl_3,normal,90,2503,94
girl_4,desperate,88,3364,72
girl_5,normal,50,3298,93
girl_6,normal,67,3376,86
girl_7,choosy,93,3446,67
girl_8,desperate,61,3537,76
girl_9,desperate,46,3545,89
girl_10,desperate,76,3611,81
girl_11,desperate,72,4449,94
girl_12,choosy,80,4744,70
girl_13,choosy,83,4197,86
girl_14,normal,71,3387,71
girl_15,choosy,51,4604,82
girl_16,normal,93,3363,74
girl_17,normal,54,2627,93
girl_18,choosy,50,4831,76
girl_19,normal,81,3396,65
girl_20,choosy,64,4573,77
girl_21,choosy,49,3450,77
girl_22,desperate,56,3545,80
girl_23,normal,67,3245,80
